"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5882.75460332172","7410.2067841314","14405.8045985795","19735.7798121772","23113.5684534708","25619.0930442559","27263.6734056831","28742.5762599833","30560.90214616","32019.7294283194","34170.1292422465","37585.1222367396","39847.5042773309","40149.581790601","38527.9910707033","37773.8755375063","39350.0191711832","40554.2735634442","40656.5893275085","41498.6740820301","42320.7812128775","44486.0678634077","45030.9277795525","43755.1790705139","44508.6813918883","46134.0969433159",
"Belarus","BLR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19221.4768583238","17812.0879652234","17380.4042534328","16075.1532611614","15236.830800015","17008.1486385433","17268.0212934742","18016.7742824679","18301.3941273815","19007.554338359","19588.9285527555","20288.5604899376","21410.9054050404","23522.9897044883","25388.6660540179","27601.7506410106","29596.9093889782","32223.4966479196","31994.3300522981","34336.2921397817","36116.8634086196","36682.4895177745","37021.475607957","37622.7175919803","36160.9401481508","35217.9366186215","36104.9138250497","36964.6161673707","37725.4747328431",
"Belize","BLZ","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17468.4344318614","19185.4479653105","20036.8636433046","19946.8086696856","19733.8161943967","19442.7610653305","18859.0234698475","18895.5297608781","19192.4433548088","20214.4880649282","19826.8694104546","20107.7331671882","21165.5432120429","21339.6956317755","20921.2223452351","20811.914680681","20006.5808912462","19936.1134838804","19380.7491654849","19324.7945206694","19008.6809453263","18813.0330160963","18431.2568826305","18325.2494472939","18071.3887861101","17188.8337934871","16988.4110548164","16811.7579439702","16367.1155802001",
"Bermuda","BMU","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11564.1900148033","11490.1795235744","11670.4295791078","11881.3975112157","12095.6607950633","12303.8754653378","12573.5422321905","12886.2985109387","12643.2504996771","12652.8473173255","12505.0732643956","12463.4831913089","12445.4594323538","12600.4351679476","12788.6973081339","13028.6629227874","13514.792572185","13957.9907641164","14154.6355337694","14384.8414112595","14780.7761744688","15812.7749023937","16492.5868920658","16482.5920101023","18175.858756579","18461.5531083265","18490.7872518243","18088.0540996102","18146.73325978",
"Brazil","BRA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27640.1108158776","26689.6845441094","26986.8586119987","27630.8315084562","28033.420954237","28850.4183301197","29101.335484179","28819.4310788482","28278.9056899161","28661.2403072989","28270.0639752856","28161.1456720592","28102.7372426575","28567.6088046234","28815.5706058632","29294.7665361629","30582.4384895825","31281.0361653316","31031.2790258721","33118.2017695017","34195.868792954","34042.0990068752","34524.4270799902","34224.9081802296","33095.9529935142","32866.5826598611","33200.8913714426","33044.9224102354","33025.0298063844",
"Barbados","BRB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32893.6930784123","31197.0905524808","31635.2040581441","31213.4422652692","30038.1792809231","29574.6102895836","30765.5742699312","30984.054774562","30374.6601324188","31222.7766513922","30397.772343885","30577.3125567698","31277.7812160395","30760.3949958838","31661.929903173","33288.2125694249","33429.3135256649","33839.6715213314","32759.991268488","32300.6782520433","32104.4111318061","32434.1507743001","31445.110805875","32450.9800040579","32495.860467475","32169.9893817776","32275.7405162056","31924.9568287061","32234.6189017097",
"Brunei Darussalam","BRN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175224.303550128","177698.295952973","172661.924302726","172021.32948288","173236.785512186","172499.082656032","164185.530588496","157671.893603161","156779.666504192","155157.693355349","155695.467323123","158359.763601157","159244.910741033","156043.367797934","152742.621288071","156784.073680102","154367.898343781","149061.519168068","145978.178208965","147710.311813922","150213.20866396","149358.713236368","144279.825064041","138334.284549466","137148.110525244","133378.266759295","134309.026982972","132555.595250779","136522.55056189",
"Bhutan","BTN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7018.00093310993","7376.52177504943","7580.83597160965","7996.27593168602","8554.63586610189","8854.06835281991","9067.92476223611","9278.2089527605","9649.78761297652","9953.81700286802","10397.7968403612","11082.2747022111","11475.0798667459","11791.8050259834","12284.9066396836","12829.9453302601","14937.5100444144","15322.3399903701","16067.0065682876","18025.3313360592","19557.4007315523","20637.5144140815","20603.853901136","21822.6361803134","21599.320662935","22803.363715462","23338.1283918297","23552.6411389264","",
"Botswana","BWA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32678.7997622547","33313.7229797255","33816.6514395908","34970.5263770667","36248.5636122692","37211.4907692004","38807.1651024059","37467.1297942113","39007.7148676708","37958.1426738361","37711.2226011958","39747.0462336765","41465.4971563174","39964.0007161686","39244.4536242228","39943.4139661237","41764.4718145615","42942.9806202667","38707.6246715665","44021.2481142228","42983.4213966394","42058.9672720373","44371.0825956202","45582.4826712934","44042.2020671944","44944.3753001839","45065.9058626137","45825.1715654596","46299.1176567082",
"Central African Republic","CAF","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2963.86724054429","2695.88282201637","2627.31928578237","2675.19179508262","2786.01342577348","2606.56821313923","2679.15342234291","2739.30711447638","2772.65798826999","2637.39877795276","2700.96549083851","2745.02361790746","2543.34305816862","2642.38316960686","2611.93179392066","2685.96934890882","2758.48347543441","2768.30311802964","2973.67308550448","3079.97501542545","3201.4277501345","3366.68468795758","2135.14382853833","2136.93200013545","2224.48343187741","2303.02433815296","2370.22026172472","2415.59528632742","2431.00679716255",
"Canada","CAN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65707.8451066412","67070.8714839973","68590.4190688554","70269.778208862","70988.9719453868","71591.8746850836","73073.4783205346","73270.7429546803","74258.6980669693","76059.2081426257","76188.5008588229","76916.1166437435","77924.0562588532","79669.5551297681","82593.3324256928","84599.8353788462","88345.1411716937","87886.7804720486","86736.8501297372","88165.6151896944","89717.5985854846","90190.6244941873","91005.398460395","93050.9992050077","93095.6857594509","93134.2790845203","94102.2860751018","94632.407380017","94813.4329321427",
